kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K7100333;7100333;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;241;Indonesia Tengah;KOTA;URBAN;100,00;37,04;156;27;5,78;13;Ada;Ada;11;1;15;49;69;44,23;79,46;42,39;;45,06;72,92;65,07;91,92;53,61;68,65;64,30;100,00;75,39;49,64;58,44;46,48;45,87;72,19;84,77;79,51;100,00;53,62;73,40;71,95;99,02;55,49;74,17;92,75;59,28;;85,71;58,32;;75,51;66,78;38,17;;71,33;83,57;88,34;23,95;59,08;;32,15;51,06;54,77;59,56;68,90;57,22;63,72;53,90;63,51;62,04;58,74;54,04
K7100342;7100342;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;032;Indonesia Tengah;KOTA;URBAN;95,83;45,83;310;24;12,92;20;Ada;Ada;5;1;17;102;168;54,19;85,31;51,89;65,39;73,71;61,46;66,10;75,42;65,03;62,79;92,20;78,64;92,59;64,88;58,98;55,54;53,52;81,64;73,64;88,15;100,00;75,94;81,60;72,96;57,78;97,99;74,17;85,43;87,43;65,78;79,59;72,90;65,78;61,09;61,16;94,98;57,17;97,15;99,79;88,68;87,73;78,15;;97,70;70,65;78,16;93,23;81,87;82,48;100,00;79,14;85,66;83,27;58,74;69,30
K7100334;7100334;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;466;Indonesia Tengah;KABUPATEN;RURAL;100,00;26,32;76;19;4,00;8;Tidak Ada;Ada;1;1;8;22;35;46,05;65,34;43,84;69,21;58,37;38,29;59,93;53,47;42,11;5,38;92,20;61,01;56,91;39,56;47,19;39,77;59,94;72,19;84,77;97,54;100,00;53,62;94,19;71,95;99,02;77,12;53,41;62,56;81,95;55,68;96,29;52,38;55,68;54,32;61,16;100,00;50,25;64,74;64,07;59,91;88,63;69,37;;100,00;96,37;77,73;94,03;99,83;64,97;75,26;77,14;86,02;79,21;58,74;44,52
K7100339;7100339;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;436;Indonesia Tengah;KABUPATEN;RURAL;88,89;0,00;156;9;17,33;11;Ada;Ada;5;1;10;51;64;41,03;71,36;47,91;87,23;62,23;64,37;74,66;54,61;56,91;82,02;75,91;49,38;85,18;59,62;62,23;56,61;75,03;94,69;46,07;89,08;72,17;85,02;100,00;87,49;95,19;91,03;71,38;88,00;62,87;52,69;100,00;65,39;52,69;63,49;67,43;97,96;63,69;100,00;64,07;100,00;52,56;62,61;;57,29;54,77;48,75;73,61;61,77;84,08;62,18;46,78;42,18;74,61;100,00;62,48
K7100337;7100337;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;238;Indonesia Tengah;KABUPATEN;RURAL;100,00;28,57;68;14;4,86;9;Ada;Ada;6;1;9;21;36;52,94;70,67;61,88;87,23;62,23;80,65;97,77;100,00;66,64;96,06;68,37;99,17;100,00;69,06;56,71;70,04;75,03;94,69;88,04;100,00;72,17;85,02;100,00;87,49;95,19;91,03;71,38;100,00;100,00;62,88;100,00;83,04;62,88;96,62;93,97;76,72;53,06;100,00;100,00;57,28;53,61;58,56;;53,93;56,58;53,31;59,15;66,84;84,08;72,69;48,22;50,47;91,78;100,00;54,76
K7100338;7100338;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;404;Indonesia Tengah;KABUPATEN;RURAL;100,00;30,00;202;20;10,10;8;Ada;Ada;3;1;11;92;78;38,61;71,43;43,84;45,94;34,98;80,65;57,28;54,61;63,87;64,52;68,37;49,38;85,18;28,95;68,18;70,04;75,03;65,16;46,07;60,46;60,43;45,06;75,69;70,16;75,96;43,42;47,21;43,24;52,87;62,88;42,47;53,88;62,88;51,74;50,24;49,69;43,93;68,03;71,77;69,11;;;;;41,53;25,54;41,56;88,49;77,28;51,28;;50,95;62,33;63,14;62,48
K7100332;7100332;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;404;Indonesia Tengah;KABUPATEN;RURAL;96,15;38,46;101;26;3,88;20;Ada;Ada;3;1;15;36;42;41,58;75,88;65,86;52,86;58,37;86,13;100,00;59,70;78,95;100,00;92,20;78,64;92,59;77,86;58,98;55,54;64,42;89,22;62,52;81,03;100,00;69,93;94,19;62,86;88,59;97,99;89,98;98,07;99,49;59,90;98,86;79,91;59,90;68,66;72,72;83,86;62,69;67,50;71,46;88,68;66,79;73,05;;84,74;80,03;66,12;93,23;66,07;82,48;87,44;62,27;60,07;70,06;47,09;59,07
K7100343;7100343;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;091;Indonesia Tengah;KABUPATEN;URBAN;100,00;25,00;103;4;25,75;8;Ada;Ada;4;1;12;38;60;58,25;74,24;56,94;59,19;54,72;36,88;57,28;64,62;59,05;82,02;75,91;59,93;100,00;59,62;56,71;83,90;85,53;94,69;48,22;77,48;72,17;70,13;75,69;87,49;75,96;91,03;83,99;79,15;60,05;57,66;100,00;65,39;57,66;49,24;73,94;60,58;48,24;41,41;58,21;85,70;43,07;58,56;;53,93;61,95;58,04;52,28;60,14;52,44;62,18;49,72;46,80;67,47;84,57;59,61
K7100335;7100335;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;091;Indonesia Tengah;KABUPATEN;RURAL;100,00;15,79;178;19;9,37;12;Tidak Ada;Ada;3;0;14;58;89;50,00;63,97;44,33;62,05;38,52;31,56;49,66;34,33;57,00;49,23;48,35;30,01;40,81;49,09;39,07;;23,96;81,64;49,72;59,10;78,26;55,05;50,43;53,85;53,06;30,43;32,64;54,59;44,48;49,71;52,30;76,03;49,71;49,51;;49,53;;40,61;34,19;59,57;41,57;38,06;;37,04;33,81;36,03;41,86;41,07;51,06;56,79;45,78;37,20;59,25;28,88;42,28
K7100341;7100341;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;512;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;56;10;5,60;6;Ada;Ada;5;1;4;17;7;12,50;69,13;43,84;63,37;58,37;34,97;66,78;36,79;59,68;68,17;92,20;38,57;56,91;49,64;38,20;56,93;45,87;58,13;72,99;70,79;100,00;86,44;94,19;78,87;66,99;100,00;53,41;81,56;81,95;51,70;96,29;75,03;51,70;52,18;55,94;75,39;55,57;51,91;34,70;50,04;46,31;41,14;;48,75;39,18;40,50;61,68;40,89;70,06;65,38;48,97;41,59;86,59;28,79;51,89
K7100336;7100336;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;044;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;149;4;37,25;8;Ada;Ada;13;1;5;83;66;44,30;55,43;47,72;36,04;38,52;34,97;55,31;49,17;48,26;49,23;48,35;42,81;28,09;43,38;38,31;39,23;32,01;50,00;49,72;55,04;78,37;44,85;67,97;49,49;57,78;48,87;41,43;54,59;55,86;49,71;66,96;52,13;49,71;49,51;43,57;49,53;42,83;49,96;52,87;59,57;87,73;86,41;;97,70;76,17;78,16;78,06;88,40;82,48;63,85;55,15;69,67;47,90;26,73;50,27
K7100078;7100078;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;312;Indonesia Tengah;KABUPATEN;RURAL;100,00;23,08;519;52;9,98;23;Ada;Ada;6;1;23;169;143;27,55;79,21;47,91;63,37;73,71;61,46;70,29;48,90;66,99;57,79;80,16;69,08;90,21;49,64;64,83;56,93;52,80;76,88;56,17;97,54;90,22;62,90;67,97;66,98;79,30;100,00;74,17;92,75;65,36;59,82;96,29;81,91;59,82;59,13;55,94;69,83;50,25;51,91;83,57;88,34;49,92;56,98;;74,86;61,65;74,38;74,42;99,83;88,96;75,26;52,15;55,69;39,48;58,74;65,80
K7100084;7100084;SMA/SMK/MA;SMK;S;Kurikulum 2013;Tidak;312;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;118;9;13,11;6;Ada;Ada;7;0;3;41;27;22,88;74,04;52,28;85,20;58,37;86,13;66,78;58,56;56,56;75,96;92,20;82,71;90,21;49,64;72,40;83,16;85,53;83,91;63,64;60,20;100,00;100,00;73,40;66,98;87,53;62,70;46,80;73,67;81,95;73,74;96,29;63,77;73,74;61,80;100,00;81,27;55,57;64,74;53,18;88,34;50,83;47,67;;57,97;51,06;54,77;46,82;60,57;60,83;65,38;46,72;44,55;86,59;47,09;59,87
K7100082;7100082;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;180;Indonesia Tengah;KABUPATEN;RURAL;100,00;47,62;337;21;16,05;19;Ada;Ada;15;1;15;115;112;33,23;64,55;61,88;;45,06;23,75;74,14;22,83;63,07;62,79;80,16;61,01;40,81;49,64;58,44;34,65;39,55;61,56;61,03;79,51;100,00;66,87;67,97;62,63;71,31;87,01;53,41;81,56;69,29;;96,29;58,32;;56,63;47,23;69,83;41,52;64,74;53,18;73,87;34,86;53,00;;67,27;58,17;57,87;66,63;63,75;70,06;72,31;52,15;50,00;57,93;58,74;56,46
K7100080;7100080;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;180;Indonesia Tengah;KABUPATEN;RURAL;100,00;40,00;214;30;7,13;17;Ada;Ada;9;1;15;67;73;34,11;75,22;61,88;57,64;51,61;86,13;70,29;91,92;77,52;100,00;92,20;100,00;88,75;49,64;83,01;69,83;85,53;94,45;66,36;97,54;100,00;77,57;94,19;89,28;60,88;87,01;74,17;92,75;74,34;51,70;85,71;58,32;51,70;71,42;100,00;69,83;61,28;92,16;100,00;88,34;46,31;41,14;;54,99;49,17;45,49;64,00;65,38;64,97;67,56;51,28;36,85;86,59;58,74;76,48
K7100079;7100079;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;180;Indonesia Tengah;KABUPATEN;RURAL;100,00;35,90;563;39;14,44;14;Ada;Ada;9;1;19;199;197;34,99;63,27;47,72;65,39;58,37;46,35;70,03;54,08;65,03;68,65;56,85;42,81;63,49;55,99;58,98;55,54;53,52;89,22;52,80;88,15;69,02;44,85;53,38;49,49;80,44;63,79;46,80;98,07;49,27;49,71;39,30;33,73;49,71;57,88;51,30;55,56;47,24;60,91;63,86;88,68;37,80;44,22;;64,88;44,25;41,62;62,39;64,26;71,13;50,26;47,41;50,36;61,35;58,74;59,07
K7100083;7100083;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;180;Indonesia Tengah;KABUPATEN;RURAL;100,00;28,57;84;21;4,00;6;Tidak Ada;Ada;4;1;9;28;36;42,86;81,16;47,91;51,91;51,61;41,94;52,48;48,90;56,56;57,79;48,35;46,63;56,91;49,64;47,19;39,77;28,95;54,30;69,44;70,79;90,22;71,66;67,97;89,28;60,88;77,12;46,80;92,75;69,29;55,68;77,92;52,38;55,68;61,80;43,57;69,83;50,25;51,91;58,21;59,91;88,63;86,41;;100,00;96,37;82,12;94,03;99,83;88,96;99,23;77,14;100,00;39,48;40,18;76,48
K7100182;7100182;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;456;Indonesia Tengah;KOTA;URBAN;100,00;26,67;350;15;23,33;28;Ada;Ada;3;1;14;141;140;40,00;79,55;47,72;58,83;51,61;23,75;70,03;44,69;61,82;75,96;71,40;78,64;56,27;77,86;52,49;96,70;64,42;76,17;78,79;99,24;100,00;61,37;73,40;67,75;88,59;83,65;53,41;98,07;52,52;65,78;66,96;57,95;65,78;73,20;72,72;94,98;57,17;67,50;63,86;88,68;53,24;61,19;;84,74;60,67;57,18;58,44;88,40;51,06;80,13;59,28;54,15;70,06;58,74;53,59
K7100181;7100181;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;456;Indonesia Tengah;KOTA;URBAN;100,00;57,14;56;7;8,00;6;Ada;Ada;5;1;6;22;23;41,07;78,78;52,28;69,21;51,61;52,57;63,36;48,90;56,56;75,96;80,16;69,08;90,21;55,63;64,83;69,83;85,53;64,92;58,60;79,51;100,00;56,37;67,97;58,35;72,94;62,70;74,17;73,67;62,10;68,60;85,71;63,77;68,60;64,65;88,11;75,39;67,50;71,33;64,07;88,34;51,73;61,26;;64,01;56,43;47,03;66,63;56,10;57,22;60,90;48,97;56,75;66,83;58,74;76,48
K7100178;7100178;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;456;Indonesia Tengah;KOTA;URBAN;100,00;48,98;1466;98;14,96;37;Ada;Ada;7;1;43;494;634;43,25;78,24;52,28;75,78;45,06;46,35;66,78;44,69;71,54;68,65;48,35;82,71;75,39;44,46;64,83;69,83;67,18;83,91;58,60;79,51;90,22;71,66;60,06;62,63;87,53;77,12;53,41;67,79;74,34;73,74;96,29;58,32;73,74;88,25;61,16;56,58;61,28;51,91;58,21;59,91;73,72;63,66;;87,72;63,46;64,92;94,03;73,02;70,06;99,23;62,21;56,75;49,76;36,05;76,48
K7100175;7100175;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;232;Indonesia Tengah;KABUPATEN;RURAL;96,77;58,06;564;62;9,10;30;Ada;Ada;6;1;27;169;185;32,80;73,64;43,84;87,23;62,23;80,65;67,21;77,79;59,05;82,02;100,00;59,93;71,73;59,62;56,71;83,90;99,90;84,14;65,70;100,00;72,17;70,13;100,00;70,16;95,19;91,03;61,88;88,00;60,05;62,88;100,00;71,03;62,88;60,20;93,97;76,72;58,17;86,73;83,57;85,70;56,93;69,82;;69,48;65,58;63,28;86,86;66,84;84,08;65,13;60,15;98,82;67,47;63,14;62,48
K7100179;7100179;SMA/SMK/MA;SMK;S;Kurikulum 2013;Tidak;476;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;104;11;9,45;6;Ada;Ada;6;1;4;29;40;38,46;77,10;47,91;70,64;71,14;48,26;60,53;50,13;56,91;53,94;61,70;59,93;71,73;51,81;51,52;56,61;67,07;50,08;48,22;50,97;72,17;70,13;60,53;47,86;57,46;43,42;47,21;52,50;52,87;62,88;62,43;53,88;62,88;51,74;50,24;49,69;53,06;54,76;48,36;57,28;47,44;53,08;;53,93;61,95;50,30;47,73;61,77;52,44;59,36;45,35;27,96;67,47;46,28;54,76
K7100177;7100177;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;263;Indonesia Tengah;KABUPATEN;RURAL;97,06;55,88;238;34;7,00;12;Ada;Ada;7;1;13;82;84;35,29;80,61;67,41;69,21;58,37;38,29;74,14;22,83;66,99;53,37;92,20;100,00;90,21;62,43;98,05;99,04;75,13;94,45;96,54;97,54;100,00;77,57;94,19;89,28;99,02;77,12;89,98;92,75;93,41;73,74;96,29;81,91;73,74;88,25;72,72;100,00;97,29;92,16;71,77;88,34;62,50;78,23;;74,86;69,29;53,22;64,00;82,65;64,97;63,21;58,59;51,78;79,21;58,74;76,48
K7100180;7100180;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;222;Indonesia Tengah;KABUPATEN;RURAL;100,00;18,52;283;27;10,48;28;Ada;Ada;7;1;17;123;74;26,15;80,10;43,84;41,53;62,23;36,88;54,02;50,13;48,44;58,75;61,70;49,38;49,22;28,95;37,99;56,61;44,85;58,36;37,94;60,46;72,17;40,06;53,77;47,86;63,81;43,42;32,95;47,75;38,15;64,79;47,46;45,18;64,79;46,84;41,29;49,69;;54,76;53,18;50,47;31,40;25,60;;32,15;28,82;37,15;56,83;47,94;71,55;56,67;57,15;42,18;43,40;46,28;83,12
K7100183;7100183;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;259;Indonesia Tengah;KABUPATEN;URBAN;100,00;0,00;49;4;12,25;6;Ada;Ada;8;1;6;11;12;24,49;78,62;43,84;51,67;;25,50;50,68;50,75;49,06;;46,10;41,31;41,45;50,82;41,88;46,38;50,87;49,14;46,07;53,94;72,17;58,21;74,64;47,86;50,61;43,42;41,63;67,39;46,54;57,66;68,85;53,82;57,66;54,32;45,11;47,65;53,06;86,64;72,38;18,21;72,82;85,96;;69,48;95,23;95,10;69,87;100,00;62,53;86,92;76,33;56,64;58,46;54,89;52,24
K7100326;7100326;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;307;Indonesia Tengah;KOTA;URBAN;98,36;59,02;287;61;4,70;19;Ada;Ada;6;1;19;97;108;37,63;77,83;56,35;65,39;65,56;52,57;79,97;49,17;73,24;62,79;48,35;66,25;75,85;49,09;52,49;67,27;79,31;81,64;62,52;88,15;100,00;85,02;81,60;79,10;80,44;97,99;62,09;98,07;63,22;59,90;79,59;52,13;59,90;64,65;72,72;94,98;51,96;60,91;83,37;88,68;58,66;66,22;;69,87;60,67;55,63;62,39;77,75;82,48;74,87;48,22;63,15;83,27;58,74;69,30
K7100327;7100327;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;307;Indonesia Tengah;KOTA;URBAN;97,53;40,74;1169;81;14,43;12;Ada;Ada;11;2;39;353;434;37,13;79,30;43,84;51,67;62,23;32,39;57,28;45,65;48,44;49,71;55,03;49,38;71,73;51,81;50,00;56,61;67,07;50,08;50,56;66,98;72,17;58,21;57,10;47,86;95,19;43,42;61,88;57,41;41,06;42,34;54,57;53,88;42,34;60,20;50,24;52,04;48,24;45,15;53,18;57,28;49,47;58,56;;47,41;43,12;56,41;50,05;57,04;71,55;36,28;49,72;46,80;62,33;46,28;50,27
K7100331;7100331;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;488;Indonesia Tengah;KABUPATEN;RURAL;83,33;5,56;111;18;6,17;13;Ada;Ada;4;1;6;43;61;54,95;72,68;52,28;87,23;71,14;80,65;86,64;45,65;66,64;96,06;68,37;99,17;85,18;51,81;85,28;100,00;85,53;84,14;71,87;100,00;72,17;76,04;100,00;87,49;95,19;91,03;83,99;67,39;62,87;62,88;100,00;71,03;62,88;76,85;93,97;86,13;46,04;100,00;100,00;57,28;45,33;62,61;;50,67;67,55;53,31;52,28;70,70;71,55;59,36;58,53;50,47;91,78;100,00;52,51
K7100330;7100330;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;488;Indonesia Tengah;KABUPATEN;RURAL;88,24;0,00;187;17;11,00;6;Ada;Ada;3;0;7;73;81;43,32;60,99;56,94;57,64;45,06;46,35;56,34;15,10;66,99;68,65;92,20;61,01;75,39;55,63;34,52;46,48;45,87;68,36;63,64;67,15;100,00;40,98;94,19;49,65;79,30;48,37;46,80;62,56;49,79;51,70;58,80;63,77;51,70;80,68;66,78;69,83;45,54;79,96;64,07;73,87;62,50;69,37;;79,94;65,36;63,03;94,03;89,18;57,22;72,31;62,21;67,54;62,04;47,09;56,46
K7100329;7100329;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;511;Indonesia Tengah;KABUPATEN;URBAN;97,22;61,11;129;36;3,58;19;Ada;Ada;7;1;16;32;35;27,13;81,77;42,39;15,16;71,14;48,26;60,53;59,35;56,91;41,54;68,37;35,41;71,73;28,95;39,07;56,61;59,63;37,42;50,56;57,16;72,17;55,25;57,10;43,82;50,61;43,42;41,63;47,75;48,42;;47,46;38,99;;44,52;50,24;49,69;;54,76;53,18;69,62;41,87;3,00;;60,94;41,00;35,17;54,60;50,95;58,92;48,46;45,72;30,69;52,20;46,28;72,26
K7100328;7100328;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;500;Indonesia Tengah;KABUPATEN;RURAL;100,00;44,83;162;29;5,59;13;Ada;Ada;14;1;10;62;66;40,74;77,16;43,84;87,23;47,96;55,40;60,53;30,64;52,63;64,52;68,37;49,38;33,85;59,62;62,23;46,48;38,33;58,36;71,87;100,00;46,74;85,02;69,30;70,16;95,19;70,33;47,21;100,00;79,98;52,69;100,00;65,39;52,69;51,74;41,29;52,04;53,06;45,15;34,70;57,28;60,62;61,26;;75,24;67,55;65,35;66,73;65,03;71,55;56,67;47,53;60,66;91,78;32,02;57,09
K7100368;7100368;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;015;Indonesia Timur;KOTA;URBAN;85,71;14,29;270;7;38,57;9;Ada;Ada;2;1;7;77;100;37,04;86,44;52,28;42,48;51,61;72,92;78,85;48,90;77,52;75,96;48,35;100,00;90,21;49,64;64,83;69,83;100,00;94,45;56,17;97,54;100,00;59,43;94,19;89,28;99,02;100,00;89,98;92,75;74,34;55,68;96,29;81,91;55,68;100,00;100,00;100,00;37,61;92,16;100,00;88,34;34,86;69,37;;60,94;65,36;40,50;66,63;68,90;50,42;58,33;58,59;52,73;86,59;58,74;51,89
K7100364;7100364;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;325;Indonesia Timur;KABUPATEN;RURAL;96,55;10,34;128;29;4,41;10;Ada;Ada;2;1;10;35;58;45,31;64,99;65,86;58,83;38,52;61,46;79,97;32,75;65,03;86,06;92,20;78,64;50,69;77,86;46,97;96,70;40,67;100,00;69,53;99,24;78,37;58,00;73,40;53,61;100,00;97,99;53,41;98,07;63,22;72,66;98,86;72,90;72,66;68,66;66,78;83,86;62,69;60,91;71,46;88,68;50,30;69,29;;64,88;68,46;60,45;78,06;74,66;82,48;70,38;58,09;64,93;65,22;58,12;59,07
K7100367;7100367;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;220;Indonesia Timur;KABUPATEN;URBAN;100,00;9,09;52;11;4,73;6;Tidak Ada;Ada;1;1;6;24;12;23,08;39,53;48,69;;58,37;34,97;48,63;58,56;47,90;62,79;41,33;51,29;64,32;49,64;60,28;56,93;39,55;45,08;43,83;56,99;90,22;46,08;50,14;48,72;60,88;41,66;36,88;57,41;49,79;;51,01;43,12;;54,32;46,91;35,89;54,86;46,30;39,01;59,91;32,45;37,99;;16,22;21,79;27,09;42,97;48,63;50,42;55,26;45,22;29,50;49,76;40,18;56,46
K7100365;7100365;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Ya;360;Indonesia Timur;KABUPATEN;RURAL;90,00;5,00;95;20;4,75;3;Ada;Ada;0;1;3;30;15;15,79;66,31;52,28;69,21;45,06;86,13;74,14;64,27;66,99;100,00;92,20;100,00;90,21;62,43;72,40;34,65;39,55;94,45;96,54;97,54;100,00;86,44;94,19;89,28;99,02;69,57;89,98;92,75;93,41;100,00;96,29;69,15;100,00;100,00;100,00;100,00;67,50;92,16;64,07;88,34;62,50;73,12;;67,27;80,79;51,68;94,03;89,18;57,22;86,15;52,15;67,54;72,85;58,74;76,48
K7100366;7100366;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;066;Indonesia Timur;KABUPATEN;RURAL;100,00;35,71;78;14;5,57;25;Ada;Ada;2;2;7;19;41;52,56;66,36;40,06;42,48;;43,69;59,93;;77,52;53,37;41,33;46,63;64,32;62,43;50,00;;;61,56;77,57;70,79;78,59;62,90;73,02;73,50;54,69;48,37;62,09;42,19;54,32;51,70;;;51,70;64,65;52,12;52,35;45,54;;58,21;59,91;62,50;69,37;;70,83;80,79;;81,70;59,11;70,06;72,31;55,97;42,65;;40,18;59,87
K7100126;7100126;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;321;Indonesia Tengah;KOTA;URBAN;100,00;14,29;61;7;8,71;6;Ada;Ada;8;1;3;24;15;24,59;81,24;51,02;63,37;58,37;61,46;70,29;70,76;56,56;57,79;47,49;46,63;64,32;55,63;58,44;69,83;67,18;68,36;51,31;97,54;100,00;59,43;67,97;78,87;79,30;77,12;53,41;52,25;42,77;64,13;85,71;50,06;64,13;61,80;61,16;70,38;;51,91;71,77;88,34;19,35;59,08;;;1,21;19,52;59,56;59,54;88,96;58,33;47,28;48,22;62,04;40,18;59,87
K7100127;7100127;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;321;Indonesia Tengah;KOTA;URBAN;100,00;48,28;487;29;16,79;28;Ada;Ada;3;1;16;155;28;5,75;80,79;56,94;51,91;65,56;52,57;74,14;48,90;71,54;86,06;80,16;82,71;90,21;34,48;72,40;83,16;85,53;94,45;61,03;97,54;100,00;66,87;94,19;89,28;99,02;87,01;89,98;81,56;81,95;68,60;96,29;81,91;68,60;67,85;100,00;69,83;67,50;58,33;53,18;73,87;65,74;98,27;;57,97;65,36;59,59;94,03;62,11;88,96;75,26;64,96;57,94;62,04;58,74;65,80
K7100129;7100129;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;393;Indonesia Tengah;KABUPATEN;RURAL;100,00;14,29;118;7;16,86;8;Ada;Ada;5;1;6;58;82;69,49;78,28;51,89;58,83;65,56;72,92;74,49;75,42;58,79;68,65;71,40;66,25;92,59;55,99;67,21;80,60;53,52;62,81;52,80;88,15;90,11;61,37;94,19;79,10;88,59;83,65;53,41;85,43;72,63;72,66;66,96;62,95;72,66;68,66;61,16;55,56;42,83;49,96;63,86;88,68;51,28;78,15;;52,88;64,37;62,17;78,06;67,87;71,13;70,38;79,14;53,20;47,90;40,18;50,27
K7100120;7100120;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;113;Indonesia Tengah;KABUPATEN;URBAN;92,31;23,08;70;13;5,38;21;Ada;Ada;3;1;3;23;29;41,43;82,36;36,57;51,91;58,37;52,57;24,74;48,90;42,11;45,19;48,35;82,71;45,84;49,64;38,20;46,48;52,80;72,19;48,88;60,20;56,96;59,43;73,40;36,91;66,99;55,49;53,41;52,25;69,29;47,72;65,22;43,05;47,72;75,51;47,23;50,71;37,61;41,94;64,07;59,91;70,33;69,37;;87,72;96,37;59,59;74,42;99,83;42,68;55,26;60,21;63,51;49,76;36,05;50,00
K7100128;7100128;SMA/SMK/MA;SMK;S;Kurikulum Merdeka;Tidak;133;Indonesia Tengah;KABUPATEN;URBAN;64,29;0,00;191;14;13,64;8;Ada;Ada;3;1;12;72;68;35,60;80,56;61,88;70,64;65,67;42,11;57,28;54,61;56,91;82,02;61,70;71,99;71,73;39,93;57,25;70,04;74,82;77,19;55,42;77,48;72,17;58,21;85,70;60,84;83,94;91,03;53,93;88,00;48,42;65,62;93,27;71,03;65,62;60,20;67,43;86,13;53,06;61,00;53,18;85,70;63,55;69,82;;83,78;80,11;65,35;78,67;100,00;71,55;62,18;62,15;72,16;52,20;35,16;83,12
K7100118;7100118;SMA/SMK/MA;SMK;N;Kurikulum Merdeka;Tidak;133;Indonesia Tengah;KABUPATEN;URBAN;100,00;56,92;1035;65;15,92;14;Ada;Ada;44;3;34;337;552;53,33;71,75;56,94;87,23;82,94;80,65;79,45;70,68;79,13;82,02;100,00;99,17;100,00;82,67;75,32;46,48;67,07;61,80;80,47;89,08;72,17;70,13;100,00;65,19;75,96;91,03;83,99;88,00;79,98;76,06;93,27;83,04;76,06;76,85;93,97;76,72;58,17;100,00;100,00;57,28;93,75;88,96;;96,74;90,17;95,10;86,86;100,00;84,08;92,44;77,08;98,82;74,61;100,00;62,48
