kd_kepsek_an;kd_sekolah;pendidikan_sederajat;jenis_sek;sts_sek;kurikulum;daerah_khusus;kd_kokab;wilayah_bagian;jenis_wilayah;status_wilayah;proporsi_pendidik_min_s1;proporsi_pendidik_sertifikasi;jumlah_peserta_didik;jumlah_pendidik;rasio_pendidik_peserta_didik;jumlah_r_kelas;ketersediaan_internet;ketersediaan_listrik;jumlah_komp_milik;jumlah_perpus;jumlah_rombel;jumlah_siswa_rombel;jumlah_siswa_penerima_PIP;rasio_siswa_penerima_PIP;SES_sekolah;APC;APK;BBS;BCP;COP;CSV;ENP;EQC;EQR;HWS;KKG;KPC;KPK;KSA;KSV;LCS;LFO;MIP;NAT;OPC;PBU;PCP;PGP;PIP;PKG;PMU;POT;PPK;PSA;PSV;PPC;RC;RKG;RPI;RSD;SBU;SCO;SKG;SMK_GRMAG;SMK_GTIN;SMK_INDS;SMK_KLAB;SMK_KOMITE;SMK_KPL;SMK_PBEL;SMK_PIM;SMK_PKL;SMK_PKUR;SMK-SARPRAS;SMK_TEFA;SSV;TOC;TOR
K5100013;5100013;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;409;Indonesia Tengah;KOTA;URBAN;100,00;50,00;675;46;14,67;28;Ada;Ada;9;1;21;222;47;6,96;74,63;61,88;87,23;98,71;80,65;97,77;40,91;73,77;96,06;100,00;99,17;100,00;82,67;62,23;100,00;99,90;84,14;65,70;89,08;72,17;70,13;100,00;87,49;95,19;91,03;83,99;100,00;100,00;68,77;100,00;83,04;68,77;96,62;93,97;97,96;58,17;100,00;64,07;100,00;;;;;;;;;;;;;91,78;100,00;62,48
K5100011;5100011;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;409;Indonesia Tengah;KOTA;RURAL;71,43;14,29;42;7;6,00;7;Ada;Ada;3;1;3;16;22;52,38;73,16;43,84;57,64;58,37;61,46;66,78;48,90;66,99;62,79;92,20;69,08;64,32;55,63;64,83;56,93;59,94;54,30;56,17;86,62;100,00;71,66;56,63;58,35;79,30;87,01;53,41;73,67;62,10;51,70;77,92;47,18;51,70;80,68;47,23;69,83;61,28;51,91;48,36;43,83;;;;;;;;;;;;;72,85;58,74;76,48
K5100004;5100004;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;226;Indonesia Tengah;KABUPATEN;RURAL;100,00;58,62;484;29;16,69;12;Ada;Ada;8;1;13;170;174;35,95;68,87;56,94;87,23;98,71;80,65;86,64;54,61;73,77;96,06;86,31;99,17;85,18;59,62;75,32;83,90;99,90;77,19;62,99;100,00;72,17;70,13;85,70;87,49;95,19;91,03;71,38;100,00;69,80;68,77;79,74;83,04;68,77;76,85;93,97;60,58;46,04;100,00;64,07;100,00;;;;;;;;;;;;;74,61;100,00;62,48
K5100007;5100007;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;226;Indonesia Tengah;KABUPATEN;URBAN;100,00;28,57;206;21;9,81;14;Ada;Ada;4;1;7;66;35;16,99;38,94;43,84;51,91;38,52;61,46;74,14;40,74;63,07;62,79;71,40;100,00;90,21;49,64;64,83;56,93;52,80;83,91;66,36;97,54;100,00;100,00;94,19;71,95;99,02;77,12;89,98;81,56;74,34;55,68;96,29;63,77;55,68;54,32;66,78;81,27;74,42;92,16;58,21;88,34;;;;;;;;;;;;;62,04;47,09;56,46
K5100012;5100012;SMA/SMK/MA;SMA;S;Kurikulum Merdeka;Tidak;226;Indonesia Tengah;KABUPATEN;RURAL;100,00;0,00;117;4;29,25;6;Ada;Ada;2;1;5;34;18;15,38;73,12;67,41;59,19;62,23;80,65;86,64;87,27;69,85;71,73;61,70;59,93;100,00;69,06;56,71;56,61;99,90;68,67;55,42;100,00;72,17;55,25;53,77;70,16;75,96;91,03;53,93;79,15;62,87;62,88;38,39;41,99;62,88;71,50;67,43;49,69;58,17;86,73;100,00;100,00;;;;;;;;;;;;;91,78;100,00;50,27
K5100008;5100008;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;226;Indonesia Tengah;KABUPATEN;RURAL;100,00;26,67;176;15;11,73;6;Ada;Ada;6;1;6;61;57;32,39;62,08;51,89;62,05;51,61;32,72;66,10;44,69;73,24;75,96;92,20;66,25;92,59;37,75;13,20;55,54;53,52;62,81;43,83;97,97;100,00;65,24;53,48;62,86;95,60;97,99;62,09;69,73;63,22;;66,96;37,80;;81,57;55,94;83,86;;67,50;48,05;88,68;;;;;;;;;;;;;57,39;47,09;69,30
K5100002;5100002;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;467;Indonesia Tengah;KABUPATEN;RURAL;100,00;31,58;385;19;20,26;11;Ada;Ada;14;1;12;125;135;35,06;63,37;83,22;100,00;100,00;86,13;97,00;91,92;86,35;100,00;92,20;82,71;90,21;83,48;72,40;99,04;100,00;76,88;84,77;97,54;100,00;100,00;94,19;89,28;99,02;77,12;89,98;92,75;81,95;100,00;96,29;81,91;100,00;100,00;100,00;100,00;61,28;92,16;100,00;88,34;;;;;;;;;;;;;86,59;58,74;76,48
K5100005;5100005;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;467;Indonesia Tengah;KABUPATEN;RURAL;100,00;33,33;123;15;8,20;7;Ada;Ada;11;1;5;43;51;41,46;58,14;61,88;87,23;62,23;80,65;67,21;54,61;54,77;96,06;100,00;49,38;100,00;59,62;68,18;100,00;75,03;94,69;75,61;100,00;72,17;65,44;100,00;87,49;95,19;91,03;83,99;79,15;79,98;52,69;85,56;59,70;52,69;57,17;93,97;52,04;36,11;100,00;64,07;100,00;;;;;;;;;;;;;37,13;46,28;54,76
K5100003;5100003;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;507;Indonesia Tengah;KABUPATEN;RURAL;100,00;50,00;591;30;19,70;18;Ada;Ada;7;1;18;199;244;41,29;67,87;56,35;72,55;73,71;61,46;88,10;59,70;65,03;68,65;92,20;78,64;92,59;77,86;52,49;55,54;95,82;100,00;78,79;99,24;100,00;75,94;94,19;100,00;100,00;97,99;89,98;98,07;99,49;81,86;98,86;79,91;81,86;73,20;100,00;94,98;68,81;84,33;99,79;88,68;;;;;;;;;;;;;83,27;58,74;69,30
K5100001;5100001;SMA/SMK/MA;SMA;N;Kurikulum Merdeka;Tidak;063;Indonesia Tengah;KABUPATEN;URBAN;95,45;47,73;822;44;18,68;29;Ada;Ada;12;1;24;269;138;16,79;74,99;52,28;57,64;65,56;52,57;59,93;58,56;56,56;62,79;76,69;69,08;74,02;49,64;72,40;56,93;59,94;72,19;77,57;79,51;90,22;100,00;81,60;78,87;72,94;77,12;74,17;92,75;81,95;55,68;79,13;81,91;55,68;64,65;62,70;50,71;50,25;51,91;48,36;59,91;;;;;;;;;;;;;66,83;58,74;56,46
